Player Name,Player Id,URL,Market Value,Age,Position
Alisson,1083070,https://www.transfermarkt.com.br/alisson/profil/spieler/1083070,"4,50 mi. €",19,Forwards
Adson,868891,https://www.transfermarkt.com.br/adson/profil/spieler/868891,"4,50 mi. €",24,Forwards
Cristian Pavón,373170,https://www.transfermarkt.com.br/cristian-pavon/profil/spieler/373170,"4,50 mi. €",28,Forwards
Kaio Jorge,620477,https://www.transfermarkt.com.br/kaio-jorge/profil/spieler/620477,"4,00 mi. €",22,Forwards
Luiz Araújo,435485,https://www.transfermarkt.com.br/luiz-araujo/profil/spieler/435485,"4,00 mi. €",28,Forwards
Dudu,114937,https://www.transfermarkt.com.br/dudu/profil/spieler/114937,"4,00 mi. €",32,Forwards
Biel,875328,https://www.transfermarkt.com.br/biel/profil/spieler/875328,"4,00 mi. €",23,Forwards
Giovane,1005165,https://www.transfermarkt.com.br/giovane/profil/spieler/1005165,"4,00 mi. €",21,Forwards
Júnior Santos,592347,https://www.transfermarkt.com.br/junior-santos/profil/spieler/592347,"4,00 mi. €",30,Forwards
Juan Dinenno,288786,https://www.transfermarkt.com.br/juan-dinenno/profil/spieler/288786,"4,00 mi. €",30,Forwards
Jonathan Calleri,284727,https://www.transfermarkt.com.br/jonathan-calleri/profil/spieler/284727,"3,50 mi. €",31,Forwards
Bruno Rodrigues,406766,https://www.transfermarkt.com.br/bruno-rodrigues/profil/spieler/406766,"3,50 mi. €",27,Forwards
André Silva,565232,https://www.transfermarkt.com.br/andre-silva/profil/spieler/565232,"3,50 mi. €",27,Forwards
Lázaro,574772,https://www.transfermarkt.com.br/lazaro/profil/spieler/574772,"3,50 mi. €",22,Forwards
Martin Braithwaite,95732,https://www.transfermarkt.com.br/martin-braithwaite/profil/spieler/95732,"3,20 mi. €",33,Forwards
Imanol Machuca,829968,https://www.transfermarkt.com.br/imanol-machuca/profil/spieler/829968,"3,00 mi. €",24,Forwards
Pedro Raul,547443,https://www.transfermarkt.com.br/pedro-raul/profil/spieler/547443,"3,00 mi. €",28,Forwards
