Player Name,Player Id,Season,Date,Home-Game,Minutes Played
Léo Jardim,288415,2023,04/12/24,1,90'
Léo Jardim,288415,2023,27/02/24,0,90'
Léo Jardim,288415,2023,07/03/24,1,90'
Léo Jardim,288415,2023,01/05/24,0,90'
Léo Jardim,288415,2023,21/05/24,1,90'
Léo Jardim,288415,2023,31/07/24,0,90'
Léo Jardim,288415,2023,06/08/24,1,90'
Léo Jardim,288415,2023,29/08/24,1,90'
Léo Jardim,288415,2023,11/09/24,0,90'
Léo Jardim,288415,2023,02/10/24,0,90'
Léo Jardim,288415,2023,19/10/24,1,90'
Léo Jardim,288415,2023,10/03/24,1,90'
Léo Jardim,288415,2023,17/03/24,0,90'
Léo Jardim,288415,2023,25/01/24,1,90'
Léo Jardim,288415,2023,28/01/24,0,90'
Léo Jardim,288415,2023,31/01/24,0,90'
Léo Jardim,288415,2023,04/02/24,1,90'
Léo Jardim,288415,2023,08/02/24,1,90'
Léo Jardim,288415,2023,14/02/24,0,90'
Léo Jardim,288415,2023,18/02/24,0,90'
Léo Jardim,288415,2023,24/02/24,1,90'
Léo Jardim,288415,2023,03/03/24,1,90'
Léo Jardim,288415,2022,07/08/22,1,90'
Léo Jardim,288415,2022,12/08/22,0,90'
Léo Jardim,288415,2022,21/08/22,1,90'
Léo Jardim,288415,2022,26/08/22,0,90'
Léo Jardim,288415,2022,31/08/22,1,90'
Léo Jardim,288415,2022,04/09/22,0,90'
Léo Jardim,288415,2022,15/04/23,0,90'
Léo Jardim,288415,2022,23/04/23,1,90'
Léo Jardim,288415,2022,01/05/23,1,90'
Léo Jardim,288415,2022,06/05/23,0,90'
Léo Jardim,288415,2022,11/05/23,0,90'
Léo Jardim,288415,2022,14/05/23,1,90'
Léo Jardim,288415,2022,20/05/23,0,90'
Léo Jardim,288415,2022,27/05/23,0,90'
Léo Jardim,288415,2022,05/06/23,1,90'
Léo Jardim,288415,2022,11/06/23,0,90'
Léo Jardim,288415,2022,22/06/23,1,90'
Léo Jardim,288415,2022,26/06/23,1,90'
Léo Jardim,288415,2022,02/07/23,0,90'
Léo Jardim,288415,2022,08/07/23,1,90'
Léo Jardim,288415,2022,23/07/23,1,90'
Léo Jardim,288415,2022,29/07/23,0,90'
Léo Jardim,288415,2022,06/08/23,1,90'
Léo Jardim,288415,2022,14/08/23,0,90'
Léo Jardim,288415,2022,20/08/23,1,90'
Léo Jardim,288415,2022,27/08/23,0,90'
Léo Jardim,288415,2022,03/09/23,0,90'
Léo Jardim,288415,2022,16/09/23,1,90'
Léo Jardim,288415,2022,21/09/23,1,90'
Léo Jardim,288415,2022,25/09/23,0,90'
Léo Jardim,288415,2022,01/10/23,0,90'
Léo Jardim,288415,2022,07/10/23,1,90'
Léo Jardim,288415,2022,18/10/23,1,90'
Léo Jardim,288415,2022,22/10/23,0,90'
Léo Jardim,288415,2022,26/10/23,1,90'
Léo Jardim,288415,2022,29/10/23,0,90'
Léo Jardim,288415,2022,02/11/23,0,90'
Léo Jardim,288415,2022,06/11/23,1,90'
Léo Jardim,288415,2022,12/11/23,1,90'
Léo Jardim,288415,2022,22/11/23,0,90'
Léo Jardim,288415,2022,25/11/23,0,90'
Léo Jardim,288415,2022,28/11/23,1,90'
Léo Jardim,288415,2022,03/12/23,0,90'
Léo Jardim,288415,2022,06/12/23,1,90'
